,Palabra,Palabras Clave,Resumen,Título
0,mathemat,564,883,563
1,educ,405,583,229
2,teacher,223,477,254
3,student,45,592,159
4,teach,161,431,150
5,research,58,582,57
6,studi,33,559,86
7,school,86,414,145
8,learn,107,379,108
9,analysi,66,423,85
10,develop,42,439,72
11,present,1,492,10
12,knowledg,86,316,73
13,practic,74,307,79
14,model,101,245,100
15,process,18,339,43
16,paper,2,391,2
17,concept,31,284,59
18,base,5,345,23
19,work,27,302,32
20,matemática,1,10,344
21,activ,30,277,41
22,relat,15,304,25
23,discuss,4,319,10
24,problem,60,219,52
25,show,1,309,1
26,approach,30,243,38
27,differ,3,292,12
28,theori,84,185,25
29,understand,11,248,32
30,cours,17,212,42
31,theoret,7,252,7
32,mean,34,187,44
33,function,60,145,59
34,construct,16,199,40
35,classroom,23,188,43
36,propos,4,223,26
37,group,10,228,9
38,didact,64,138,41
39,context,12,195,33
40,data,15,210,10
41,technolog,52,146,36
42,design,18,189,21
43,task,29,158,37
44,investig,10,203,10
45,bolema,1,219,2
46,methodolog,11,191,11
47,perspect,8,172,32
48,solv,40,131,39
49,experi,15,163,27
50,univers,16,153,30
51,algebra,54,100,44
52,object,10,182,5
53,profession,54,109,33
54,possibl,1,172,17
55,statist,54,85,50
56,train,51,108,29
57,gener,8,162,18
58,case,10,126,51
59,high,19,122,43
60,represent,37,116,31
61,situat,16,154,14
62,product,16,140,24
63,reflect,12,136,25
64,system,27,126,20
65,particip,3,160,9
66,year,9,146,16
67,level,18,136,15
68,class,6,135,25
69,question,7,153,5
70,content,15,144,5
71,interpret,16,126,22
72,three,3,155,6
73,think,38,98,28
74,role,3,136,22
75,qualit,4,153,4
76,specif,2,152,5
77,histori,63,73,22
78,observ,1,150,3
79,elementari,25,89,39
80,cognit,39,92,21
81,pedagog,25,107,20
82,interview,8,143,1
83,number,35,88,28
84,curriculum,41,78,29
85,make,3,135,8
86,order,3,135,7
87,perform,7,126,11
88,first,1,128,15
89,new,5,123,14
90,aspect,2,130,9
91,subject,7,126,7
92,relationship,9,111,19
93,scienc,14,107,17
94,geometri,40,68,29
95,reason,31,82,24
96,strategi,22,94,21
97,point,3,128,5
98,form,13,110,11
99,program,10,104,20
100,explor,1,116,17
